route,lat,lng
A,45.76743,4.84632
A,45.76809,4.84615
A,45.76885,4.84606
A,45.76902,4.84727
A,45.76918,4.84894
A,45.76927,4.85036
A,45.76851,4.85055
A,45.76791,4.8507
A,45.76736,4.85079
A,45.76723,4.84935
A,45.76707,4.84763
A,45.76695,4.84642
A,45.76743,4.84626
B,45.77075,4.84457
B,45.7703,4.84472
B,45.76962,4.84487
B,45.76882,4.845
B,45.76893,4.84594
B,45.76906,4.84723
B,45.76917,4.8489
B,45.76994,4.84884
B,45.77062,4.84871
B,45.77048,4.84699
B,45.77032,4.84577
B,45.77085,4.84568
B,45.77075,4.84465
C,45.77062,4.84347
C,45.77077,4.84465
C,45.77032,4.8447
C,45.76963,4.84485
C,45.76883,4.84495
C,45.76806,4.84512
C,45.76812,4.84613
C,45.76743,4.84631
C,45.76734,4.84521
C,45.76723,4.84418
C,45.76795,4.84403
C,45.76873,4.84386
C,45.76949,4.84369
C,45.77059,4.84345
D,45.76756,4.84752
D,45.76825,4.84739
D,45.769,4.84726
D,45.76982,4.84715
D,45.76997,4.84885
D,45.77062,4.84872
D,45.77048,4.84699
D,45.77096,4.84692
D,45.77172,4.84679
D,45.77186,4.8485
D,45.772,4.84991
D,45.77126,4.85006
D,45.7708,4.85012
D,45.7701,4.85026
D,45.7693,4.85041
D,45.76855,4.85056
D,45.76783,4.85067
D,45.76771,4.8493
D,45.76755,4.84753
E,45.76948,4.85235
E,45.76933,4.85042
E,45.76918,4.84903
E,45.76903,4.84727
E,45.76821,4.84743
E,45.76817,4.84614
E,45.76802,4.84509
E,45.76734,4.84527
E,45.76686,4.84534
E,45.76641,4.84538
E,45.76651,4.84647
E,45.76692,4.8464
E,45.76707,4.84762
E,45.76724,4.84938
E,45.76738,4.85075
E,45.76753,4.85273
E,45.76802,4.85265
E,45.76872,4.8525
E,45.76947,4.85238
F,45.77262,4.84432
F,45.77277,4.84528
F,45.77284,4.84654
F,45.77292,4.8474
F,45.77301,4.84828
F,45.77307,4.84894
F,45.77384,4.84876
F,45.77379,4.84813
F,45.77371,4.84726
F,45.77362,4.84641
F,45.77352,4.84517
F,45.77342,4.84411
F,45.77262,4.84432
G,45.77432,4.84393
G,45.77438,4.845
G,45.7735,4.84518
G,45.77342,4.84412
G,45.77432,4.8439
H,45.77451,4.84631
H,45.77443,4.84502
H,45.77433,4.84392
H,45.77521,4.84381
H,45.77529,4.8449
H,45.77538,4.84603
H,45.77544,4.84694
H,45.77463,4.84713
H,45.77447,4.84632
I,45.77288,4.85975
I,45.77291,4.85887
I,45.7721,4.85877
I,45.77015,4.85942
I,45.76904,4.86053
I,45.7697,4.86164
I,45.77035,4.86166
I,45.77145,4.86181
I,45.77196,4.86185
I,45.77268,4.86194
I,45.77285,4.85978
K,45.76926,4.86168
K,45.76872,4.86165
K,45.76809,4.86164
K,45.76809,4.86249
K,45.76817,4.86329
K,45.76828,4.86478
K,45.76834,4.86576
K,45.76947,4.86577
K,45.76938,4.86474
K,45.77056,4.86396
K,45.7705,4.86321
K,45.77019,4.86279
K,45.76995,4.86229
K,45.7697,4.86169
K,45.76925,4.86171
